Park_Name,Team,RUNS,HR,H,2B,3B,BB
"Miller Park(Milwaukee, Wisconsin)",MIL,1.278,0.556,1.867,2.333,0.667,0.8
"null(Denver, Colorado)",COL,1.268,1.134,1.16,1.276,1.93,0.932
"null(Cincinnati, Ohio)",CIN,1.257,1.404,1.115,1.147,0.654,1.12
"null(Boston, Massachusetts)",BOS,1.235,1.005,1.154,1.347,1.15,1.011
"null(Baltimore, Maryland)",BAL,1.165,1.574,1.089,1.004,0.857,1.012
"null(Kansas City, Missouri)",KCR,1.164,0.833,1.136,1.267,1.304,0.924
"Rogers Centre(Toronto, Ontario)",TOR,1.131,1.093,1.07,1.176,1.133,0.99
"null(Atlanta, Georgia)",ATL,1.109,1.022,1.004,1.028,1.063,0.973
"null(Chicago, Illinois)",CHW,1.067,1.192,1.027,0.868,1.222,0.971
"null(Phoenix, Arizona)",ARI,1.066,0.825,1.115,1.252,1.111,0.923
"null(Anaheim, California)",LAA,1.044,1.237,1.006,0.877,0.8,1.104
"null(Pittsburgh, Pennsylvania)",PIT,1.014,0.774,1.036,1.169,1.31,1.114
"null(Chicago, Illinois)",CHC,1.008,1.385,0.931,0.852,0.846,1.009
"null(Houston, Texas)",HOU,0.983,1,0.975,1.011,2.375,1.07
"null(Minneapolis, Minnesota)",MIN,0.981,0.996,0.983,1.05,0.696,1.01
"null(San Francisco, California)",SFG,0.975,0.774,0.986,1.107,1.455,1.012
"null(Bronx, New York)",NYY,0.974,1.101,0.934,0.794,0.421,1.116
"null(Arlington, Texas)",TEX,0.967,0.946,0.995,0.992,0.72,0.939
"null(Philadelphia, Pennsylvania)",PHI,0.962,1,0.986,0.93,1.08,0.998
"null(Los Angeles, California)",LAD,0.954,1.383,0.967,1.008,0.65,0.863
"null(Cleveland, Ohio)",CLE,0.943,1.044,0.986,0.954,0.81,0.978
"null(Washington, District of Columbia)",WSN,0.937,1.014,0.981,0.974,0.696,0.887
"null(Miami, Florida)",MIA,0.93,0.882,0.966,0.844,1.348,1.023
"null(San Diego, California)",SDP,0.906,0.906,0.958,0.936,0.615,1.06
"null(Oakland, California)",OAK,0.882,0.84,0.935,0.926,0.85,0.945
"null(Detroit, Michigan)",DET,0.877,0.687,0.951,1.029,2.25,1.036
"null(Seattle, Washington)",SEA,0.862,0.951,0.874,0.784,0.542,0.965
"null(St. Louis, Missouri)",STL,0.82,0.75,0.956,0.907,0.696,0.844
"null(Queens, New York)",NYM,0.819,0.867,0.899,0.835,0.542,1.051
"null(St. Petersburg, Florida)",TBR,0.778,0.728,0.868,0.907,0.706,1.018
Total,TOT,1,1,1,1,1,1
